hour,total_volume,total_tx_count,cex_inflow,cex_outflow,cex_tx_count,dex_inflow,dex_outflow,dex_tx_count,inst_inflow,inst_outflow,inst_tx_count
2024-01-03 18:00:00.000 UTC,572354.2157408602,35,6671.679961690001,280856.5059939064,14,138727.70706542706,28491.3820033088,9,0.0,0.0,0
2024-01-03 19:00:00.000 UTC,833685.3441627427,28,597092.56981066,32359.49876,14,82.51634669568996,88362.29455765363,6,0.0,0.0,0
2024-01-03 20:00:00.000 UTC,247683.22795683224,22,57273.148068,54633.83785498,6,1284.3584974652592,29783.45986292061,8,0.0,0.0,0
2024-01-03 21:00:00.000 UTC,828220.7705393727,21,326463.351251,14472.034595,8,346.55250827340114,20992.662766822683,6,0.0,0.0,0
2024-01-03 22:00:00.000 UTC,1572118.0278273786,49,696346.22917886,271666.50124404,17,204.24305899971708,204.24305899971708,2,0.0,0.0,0
2024-01-03 23:00:00.000 UTC,3429146.0976543296,25,442704.70607001,221831.3382124,14,21110.229265051043,4672.742809634083,3,0.0,0.0,0
2024-01-04 00:00:00.000 UTC,3539277.4296734445,22,458926.86851043,159036.32211165,10,0.0,233.81728608450487,1,0.0,0.0,0
2024-01-04 01:00:00.000 UTC,5624375.765451149,44,5121879.07300118,158418.79365073517,15,132933.99445399744,0.0,12,0.0,0.0,0
2024-01-04 02:00:00.000 UTC,887599.5486791389,25,601592.2366361539,87923.53247126001,13,0.0,6338.968510062494,2,0.0,0.0,0
2024-01-04 03:00:00.000 UTC,228786.27991735176,24,29882.56503059129,1323.0147105912863,4,31194.66015955054,49415.2842215158,9,0.0,0.0,0
2024-01-04 04:00:00.000 UTC,852740.291725628,26,520877.197216,49771.582735,8,0.0,127629.83403260306,13,0.0,0.0,0
2024-01-04 05:00:00.000 UTC,1123829.1677791018,19,1076844.06278106,729992.24404502,13,0.0,15506.51549788651,3,0.0,0.0,0
2024-01-04 06:00:00.000 UTC,779188.6770857557,40,228468.86293703,150817.70945703,6,12.090449215037829,157855.6421060344,19,0.0,0.0,0
2024-01-04 07:00:00.000 UTC,4360878.407548917,68,3099571.89976319,3186077.9761560163,23,36600.14144543777,274198.4918025911,32,0.0,0.0,0
2024-01-04 08:00:00.000 UTC,17619228.45729567,406,326341.1679550611,7048943.823789167,147,206316.30286806688,670400.7538890343,112,0.0,0.0,0
2024-01-04 09:00:00.000 UTC,11499159.18525605,143,3945037.4043504,3983867.14035557,54,29623.040773836557,31961.859458043757,16,0.0,0.0,0
2024-01-04 10:00:00.000 UTC,2305718.315082554,80,730843.0558478399,1072707.21470686,39,23767.111106511617,69596.45405590594,22,0.0,0.0,0
