hour,cex_inflow_usd,cex_outflow_usd,cex_tx_count,inst_inflow_usd,inst_outflow_usd,inst_tx_count,stable_inflow_usd,stable_outflow_usd,stable_tx_count
2024-01-04 01:00:00.000 UTC,218061508.83361706,227643871.17589948,9333,3811869.486483433,2009693.5135347857,5,127185465.58548196,126710299.90191084,2000
2024-01-04 02:00:00.000 UTC,170737963.79593718,172269718.2857703,11981,3889726.57398268,14104.437946380327,13,112950398.60288116,114586134.12529361,4317
2024-01-04 03:00:00.000 UTC,272827832.1779025,281886872.575268,10771,13452894.823387848,14232206.672886098,12,197814531.21727806,200491645.59727573,2530
2024-01-04 04:00:00.000 UTC,113207341.15547185,160569245.69452786,9757,34154232.509437926,3680.236217086703,11,62589008.02588137,93875927.55039237,2275
2024-01-04 05:00:00.000 UTC,188104830.11705527,139050790.54210776,12201,10108222.798302872,49703041.11776932,15,124776514.98443678,75870665.63183047,3602
2024-01-04 06:00:00.000 UTC,230615847.7005345,248642491.3508411,10327,9062750.465635292,9169629.354114937,14,132343364.32502306,146653426.08174098,2755
2024-01-04 07:00:00.000 UTC,265286329.34112498,255014403.63544565,9556,12732093.316680286,6455275.7509292355,16,208672438.5567727,193965554.43829775,2609
2024-01-04 08:00:00.000 UTC,558676170.4124709,577976553.3975384,10561,9062852.223829728,2977306.86708414,14,199759170.74439645,202287532.48491168,2745
2024-01-04 09:00:00.000 UTC,276325829.5165303,265341290.37315446,11278,14750088.215293417,898282.8258264569,8,223843425.41369775,210703856.3280322,3049
2024-01-04 10:00:00.000 UTC,182503444.89600426,181607560.89644766,10654,18908804.01254656,16723225.937418874,28,96763132.38542852,100597142.56615946,3093
2024-01-04 11:00:00.000 UTC,298129449.91566163,263457540.78176317,10861,2747053.2137314826,7007452.459433577,17,104907744.76128776,69879541.14882544,3265
2024-01-04 12:00:00.000 UTC,267304372.94371274,243915471.579958,10684,28720.880492272197,22042468.111589443,15,163713918.55668303,151530265.27692023,3226
2024-01-04 13:00:00.000 UTC,178626552.52432868,280022973.35185474,11873,12276821.98856076,31923614.75009392,19,116874959.83244595,223560273.07620227,3382
